"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"11","SI",2024-10-05,95.8,-2.09,5.12,"Wheeler, Zack",516782,554430,"","foul",NA,NA,NA,NA,2,"Starling Marte pops out to shortstop Trea Turner.","D","R","R","PHI","NYM","S",NA,"",0,0,2024,-1.39,0.59,0.18,3.06,NA,NA,608385,1,7,"Top",NA,NA,NA,NA,NA,NA,9.31493639113559,-139.179707068891,-1.17503628831123,-20.1682853949419,31.1223887923751,-24.4197991547581,3.52,1.58,278,87,35,97.5,2347,7.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.16,NA,NA,NA,NA,NA,NA,NA,49,1,"Sinker",1,0,0,1,0,1,0,1,"Standard","Standard",230,0,-0.047,66.1,5.8,NA,0.047,88,1,-1,0.694,0.306,34,35,34,36,3,2,7,2,NA,1,1.9,1.39,1.39,21.2
"12","SI",2024-10-05,96.8,-1.98,5.17,"Wheeler, Zack",608385,554430,"walk","ball",NA,NA,NA,NA,12,"Jesse Winker walks.","D","L","R","PHI","NYM","B",NA,"",3,2,2024,-1.44,0.62,1.04,3.63,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,11.5414743570719,-140.477407631694,0.0768226300443846,-21.6737920921639,31.2506538723413,-24.1773949144275,3.38,1.57,NA,NA,NA,98.5,2311,7.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.16,NA,0.689131,0.7,1,0,0,NA,48,6,"Sinker",1,0,0,1,0,1,0,1,"Standard","Standard",227,-0.049,0.22,NA,NA,NA,-0.22,NA,1,-1,0.743,0.257,34,30,34,31,3,2,7,2,NA,3,1.82,1.44,-1.44,22.3
"13","FF",2024-10-05,96.8,-1.95,5.19,"Wheeler, Zack",608385,554430,"","swinging_strike",NA,NA,NA,NA,12,"Jesse Winker walks.","D","L","R","PHI","NYM","S",NA,"",3,1,2024,-1.03,1.36,0.91,2.75,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,10.203844234342,-140.471582829481,-4.06007197016681,-16.0764221947965,34.5308375659348,-13.5088630309069,3.4,1.58,NA,NA,NA,98.3,2484,7.5,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.01,NA,NA,NA,NA,NA,NA,NA,48,5,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",225,0,-0.058,51.3,5.5,NA,0.058,NA,1,-1,0.743,0.257,34,30,34,31,3,2,7,2,NA,3,1.11,1.03,-1.03,23.1
"14","FF",2024-10-05,96.6,-2.05,5.15,"Wheeler, Zack",608385,554430,"","ball",NA,NA,NA,NA,12,"Jesse Winker walks.","D","L","R","PHI","NYM","B",NA,"",2,1,2024,-1.05,1.24,0.51,3.91,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,9.36911270122736,-140.339501727145,-0.502632368004758,-16.1791033983937,35.2064348753696,-16.0300939462827,3.46,1.5,NA,NA,NA,97.8,2444,7.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.23,NA,NA,NA,NA,NA,NA,NA,48,4,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",231,0,0.077,NA,NA,NA,-0.077,NA,1,-1,0.743,0.257,34,30,34,31,3,2,7,2,NA,3,1.23,1.05,-1.05,21
"15","FC",2024-10-05,93.4,-2.12,5.14,"Wheeler, Zack",608385,554430,"","swinging_strike",NA,NA,NA,NA,2,"Jesse Winker walks.","D","L","R","PHI","NYM","S",NA,"",2,0,2024,-0.28,1.15,-0.06,3.17,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,6.02847237805396,-135.840029975288,-1.85753467291097,-4.81878780059109,30.8541553811593,-17.7726631946039,3.4,1.58,NA,NA,NA,94.9,2457,7.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.24,NA,NA,NA,NA,NA,NA,NA,48,3,"Cutter",1,0,0,1,0,1,0,1,"Standard","Standard",221,0,-0.041,73.4,7.5,NA,0.041,NA,1,-1,0.743,0.257,34,30,34,31,3,2,7,2,NA,3,1.47,0.28,-0.28,20.6
"16","FS",2024-10-05,86.5,-2.03,5.21,"Wheeler, Zack",608385,554430,"","ball",NA,NA,NA,NA,14,"Jesse Winker walks.","D","L","R","PHI","NYM","B",NA,"",1,0,2024,-1.04,0.33,0.35,0.53,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,7.94334481851081,-125.715367615166,-5.69278178121218,-12.6067629075769,25.7068478474997,-27.7051909670841,3.38,1.62,NA,NA,NA,88,1442,7.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.18,NA,NA,NA,NA,NA,NA,NA,48,2,"Split-Finger",1,0,0,1,0,1,0,1,"Standard","Standard",248,0,0.046,NA,NA,NA,-0.046,NA,1,-1,0.743,0.257,34,30,34,31,3,2,7,2,NA,3,2.73,1.04,-1.04,22.8
"17","FC",2024-10-05,94.6,-2.11,5.15,"Wheeler, Zack",608385,554430,"","ball",NA,NA,NA,NA,12,"Jesse Winker walks.","D","L","R","PHI","NYM","B",NA,"",0,0,2024,-0.63,1.01,0.86,3.48,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,NA,NA,9.30959027259532,-137.4600217998,-0.911334328583572,-10.0950790580249,30.7767405050955,-19.3940785217393,3.46,1.5,NA,NA,NA,96,2567,7.2,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.31,NA,NA,NA,NA,NA,NA,NA,48,1,"Cutter",1,0,0,1,0,1,0,1,"Standard","Standard",225,0,0.025,NA,NA,NA,-0.025,NA,1,-1,0.743,0.257,34,30,34,31,3,2,7,2,NA,3,1.55,0.63,-0.63,21.7
"18","FF",2024-10-05,96.5,-2.12,5.13,"Wheeler, Zack",578428,554430,"field_out","hit_into_play",NA,NA,NA,NA,11,"Jose Iglesias pops out softly to second baseman Bryson Stott.","D","R","R","PHI","NYM","X",4,"popup",1,2,2024,-1.04,1.14,-0.83,3.81,NA,NA,NA,0,7,"Top",158.11,151.73,NA,NA,NA,NA,5.9036166253226,-140.37564291775,-0.495044883345266,-15.0654455566693,33.2658087572793,-17.2976849007563,3.19,1.41,147,56.8,46,97.9,2490,7.2,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.32,0.114,0.103,0,1,0,0,1,47,5,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",229,0.043,-0.167,58.7,5,0.114,0.167,88,1,-1,0.7,0.3,34,34,34,34,3,2,7,2,NA,1,1.32,1.04,1.04,20.4
"19","SI",2024-10-05,96.1,-2.06,5.15,"Wheeler, Zack",578428,554430,"","foul",NA,NA,NA,NA,13,"Jose Iglesias pops out softly to second baseman Bryson Stott.","D","R","R","PHI","NYM","S",NA,"",1,2,2024,-1.53,0.72,-1.5,1.99,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,5.04142723736524,-139.823631812795,-4.43508853063582,-21.1122546440902,34.3178992348751,-21.917856632341,3.19,1.41,6,64.9,-19,97.4,2276,7.2,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.29,NA,NA,NA,NA,NA,NA,NA,47,4,"Sinker",1,0,0,1,0,1,0,1,"Standard","Standard",228,0,0,73.3,6.6,NA,0,88,1,-1,0.7,0.3,34,34,34,34,3,2,7,2,NA,1,1.77,1.53,1.53,19.8
"20","FS",2024-10-05,87.7,-1.99,5.19,"Wheeler, Zack",578428,554430,"","ball",NA,NA,NA,NA,14,"Jose Iglesias pops out softly to second baseman Bryson Stott.","D","R","R","PHI","NYM","B",NA,"",0,2,2024,-1.32,0.43,0.28,0.44,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,NA,NA,8.35034035505508,-127.29071173591,-6.29336641187799,-16.0592657968059,26.4338982943993,-26.3986818977835,3.16,1.42,NA,NA,NA,89,1506,7.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,53.23,NA,NA,NA,NA,NA,NA,NA,47,3,"Split-Finger",1,0,0,1,0,1,0,1,"Standard","Standard",242,0,0.021,NA,NA,NA,-0.021,NA,1,-1,0.7,0.3,34,34,34,34,3,2,7,2,NA,1,2.56,1.32,1.32,23.5
